LocationID,Borough,Zone,service_zone,Corrresponding Transit District 
1,EWR,Newark Airport,EWR,NA
2,Queens,Jamaica Bay,Boro Zone,NA
3,Bronx,Allerton/Pelham Gardens,Boro Zone,12
4,Manhattan,Alphabet City,Yellow Zone,4
5,Staten Island,Arden Heights,Boro Zone,NA
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,NA
7,Queens,Astoria,Boro Zone,20
8,Queens,Astoria Park,Boro Zone,20
9,Queens,Auburndale,Boro Zone,NA
10,Queens,Baisley Park,Boro Zone,NA
11,Brooklyn,Bath Beach,Boro Zone,34
12,Manhattan,Battery Park,Yellow Zone,2
13,Manhattan,Battery Park City,Yellow Zone,2
14,Brooklyn,Bay Ridge,Boro Zone,34
15,Queens,Bay Terrace/Fort Totten,Boro Zone,NA
16,Queens,Bayside,Boro Zone,NA
17,Brooklyn,Bedford,Boro Zone,32
18,Bronx,Bedford Park,Boro Zone,11
19,Queens,Bellerose,Boro Zone,NA
20,Bronx,Belmont,Boro Zone,11
21,Brooklyn,Bensonhurst East,Boro Zone,34
22,Brooklyn,Bensonhurst West,Boro Zone,34
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,NA
24,Manhattan,Bloomingdale,Yellow Zone,3
25,Brooklyn,Boerum Hill,Boro Zone,32
26,Brooklyn,Borough Park,Boro Zone,34
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,23
28,Queens,Briarwood/Jamaica Hills,Boro Zone,20
29,Brooklyn,Brighton Beach,Boro Zone,34
30,Queens,Broad Channel,Boro Zone,23
31,Bronx,Bronx Park,Boro Zone,12
32,Bronx,Bronxdale,Boro Zone,12
33,Brooklyn,Brooklyn Heights,Boro Zone,30
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,30
35,Brooklyn,Brownsville,Boro Zone,32
36,Brooklyn,Bushwick North,Boro Zone,33
37,Brooklyn,Bushwick South,Boro Zone,33
38,Queens,Cambria Heights,Boro Zone,NA
39,Brooklyn,Canarsie,Boro Zone,33
40,Brooklyn,Carroll Gardens,Boro Zone,30
41,Manhattan,Central Harlem,Boro Zone,3
42,Manhattan,Central Harlem North,Boro Zone,3
43,Manhattan,Central Park,Yellow Zone,1
44,Staten Island,Charleston/Tottenville,Boro Zone,NA
45,Manhattan,Chinatown,Yellow Zone,4
46,Bronx,City Island,Boro Zone,NA
47,Bronx,Claremont/Bathgate,Boro Zone,11
48,Manhattan,Clinton East,Yellow Zone,1
49,Brooklyn,Clinton Hill,Boro Zone,30
50,Manhattan,Clinton West,Yellow Zone,1
51,Bronx,Co-Op City,Boro Zone,12
52,Brooklyn,Cobble Hill,Boro Zone,30
53,Queens,College Point,Boro Zone,20
54,Brooklyn,Columbia Street,Boro Zone,NA
55,Brooklyn,Coney Island,Boro Zone,34
56,Queens,Corona,Boro Zone,20
57,Queens,Corona,Boro Zone,20
58,Bronx,Country Club,Boro Zone,NA
59,Bronx,Crotona Park,Boro Zone,12
60,Bronx,Crotona Park East,Boro Zone,12
61,Brooklyn,Crown Heights North,Boro Zone,30
62,Brooklyn,Crown Heights South,Boro Zone,32
63,Brooklyn,Cypress Hills,Boro Zone,33
64,Queens,Douglaston,Boro Zone,NA
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,30
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,30
67,Brooklyn,Dyker Heights,Boro Zone,34
68,Manhattan,East Chelsea,Yellow Zone,2
69,Bronx,East Concourse/Concourse Village,Boro Zone,11
70,Queens,East Elmhurst,Boro Zone,20
71,Brooklyn,East Flatbush/Farragut,Boro Zone,NA
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,NA
73,Queens,East Flushing,Boro Zone,20
74,Manhattan,East Harlem North,Boro Zone,1
75,Manhattan,East Harlem South,Boro Zone,3
76,Brooklyn,East New York,Boro Zone,NA
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,32
78,Bronx,East Tremont,Boro Zone,11
79,Manhattan,East Village,Yellow Zone,4
80,Brooklyn,East Williamsburg,Boro Zone,33
81,Bronx,Eastchester,Boro Zone,NA
82,Queens,Elmhurst,Boro Zone,20
83,Queens,Elmhurst/Maspeth,Boro Zone,20
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,NA
85,Brooklyn,Erasmus,Boro Zone,30
86,Queens,Far Rockaway,Boro Zone,23
87,Manhattan,Financial District North,Yellow Zone,2
88,Manhattan,Financial District South,Yellow Zone,2
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,34
90,Manhattan,Flatiron,Yellow Zone,4
91,Brooklyn,Flatlands,Boro Zone,32
92,Queens,Flushing,Boro Zone,20
93,Queens,Flushing Meadows-Corona Park,Boro Zone,20
94,Bronx,Fordham South,Boro Zone,11
95,Queens,Forest Hills,Boro Zone,20
96,Queens,Forest Park/Highland Park,Boro Zone,20
97,Brooklyn,Fort Greene,Boro Zone,30
98,Queens,Fresh Meadows,Boro Zone,NA
99,Staten Island,Freshkills Park,Boro Zone,NA
100,Manhattan,Garment District,Yellow Zone,1
101,Queens,Glen Oaks,Boro Zone,NA
102,Queens,Glendale,Boro Zone,20
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,NA
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,NA
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,NA
106,Brooklyn,Gowanus,Boro Zone,30
107,Manhattan,Gramercy,Yellow Zone,4
108,Brooklyn,Gravesend,Boro Zone,34
109,Staten Island,Great Kills,Boro Zone,NA
110,Staten Island,Great Kills Park,Boro Zone,NA
111,Brooklyn,Green-Wood Cemetery,Boro Zone,32
112,Brooklyn,Greenpoint,Boro Zone,30
113,Manhattan,Greenwich Village North,Yellow Zone,2
114,Manhattan,Greenwich Village South,Yellow Zone,2
115,Staten Island,Grymes Hill/Clifton,Boro Zone,NA
116,Manhattan,Hamilton Heights,Boro Zone,3
117,Queens,Hammels/Arverne,Boro Zone,23
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,NA
119,Bronx,Highbridge,Boro Zone,11
120,Manhattan,Highbridge Park,Boro Zone,3
121,Queens,Hillcrest/Pomonok,Boro Zone,20
122,Queens,Hollis,Boro Zone,20
123,Brooklyn,Homecrest,Boro Zone,34
124,Queens,Howard Beach,Boro Zone,23
125,Manhattan,Hudson Sq,Yellow Zone,2
126,Bronx,Hunts Point,Boro Zone,12
127,Manhattan,Inwood,Boro Zone,3
128,Manhattan,Inwood Hill Park,Boro Zone,3
129,Queens,Jackson Heights,Boro Zone,20
130,Queens,Jamaica,Boro Zone,20
131,Queens,Jamaica Estates,Boro Zone,20
132,Queens,JFK Airport,Airports,NA
133,Brooklyn,Kensington,Boro Zone,34
134,Queens,Kew Gardens,Boro Zone,20
135,Queens,Kew Gardens Hills,Boro Zone,20
136,Bronx,Kingsbridge Heights,Boro Zone,11
137,Manhattan,Kips Bay,Yellow Zone,4
138,Queens,LaGuardia Airport,Airports,NA
139,Queens,Laurelton,Boro Zone,NA
140,Manhattan,Lenox Hill East,Yellow Zone,4
141,Manhattan,Lenox Hill West,Yellow Zone,4
142,Manhattan,Lincoln Square East,Yellow Zone,1
143,Manhattan,Lincoln Square West,Yellow Zone,1
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,4
145,Queens,Long Island City/Hunters Point,Boro Zone,20
146,Queens,Long Island City/Queens Plaza,Boro Zone,20
147,Bronx,Longwood,Boro Zone,12
148,Manhattan,Lower East Side,Yellow Zone,4
149,Brooklyn,Madison,Boro Zone,34
150,Brooklyn,Manhattan Beach,Boro Zone,NA
151,Manhattan,Manhattan Valley,Yellow Zone,3
152,Manhattan,Manhattanville,Boro Zone,3
153,Manhattan,Marble Hill,Boro Zone,3
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,NA
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,NA
156,Staten Island,Mariners Harbor,Boro Zone,NA
157,Queens,Maspeth,Boro Zone,20
158,Manhattan,Meatpacking/West Village West,Yellow Zone,2
159,Bronx,Melrose South,Boro Zone,12
160,Queens,Middle Village,Boro Zone,20
161,Manhattan,Midtown Center,Yellow Zone,1
162,Manhattan,Midtown East,Yellow Zone,4
